address,choice.1,choice.2,choice.3,choice.4,choice.5,choice.6,choice.7,choice.8,voting_power,timestamp,author_ipfs_hash,reason
0x1aB89De00F039d9De0E17cd1F1A5E7372C475aC3,,1,,,,,,,550.0873557330807,1696306647,bafkreigwsgdyxrmbnacu73ujug3w3qo3tqh3n5hbsrlxiwmlywmbecdnpm,""
0x828A5457B8773E65f54632ee47eCA18B9885D98c,,1,,,,,,,17.47021718716743,1696306878,bafkreif2hxlr6zbg6yeadmw6q3rr6vr3neccdtmxob6rijplyhzoa2saw4,""
0x36848563E7055750BC64A75cE238a8aDd3B12BbE,,58,,,,,,,166.91697939982504,1696307318,bafkreiduc4vfieirj65c3fnmsqyhqohyebcjj6zl5kvpl4e4ndmfxa6jqi,""
0x5Da7FBC618947d1D20001565CeCBF13FFaC3c598,,1,,,,,,,1.948775319639319,1696307485,bafkreihduwnmfu7xeuggulsjzncanv6slug2jzvf76gpnciz7rhvzd2qyu,""
0x368524c20bDD88A5e90e85E5bDa52F9fAbDC64c5,1,,,,,,,,37.57562742619111,1696307763,bafkreifkfhck5vdc7smkh2weh4xlqkw2ayhkwt2vabazvb3pqt3bjjd76u,""
0x35DbbECd845bd33e934B4049A9E252C1aba9B8DF,1,1,1,1,1,1,1,1,0.20348312276170677,1696307935,bafkreieiiuk2dqnjn7wfrrmgg32ijat7naicqyeav466jhqm4fcltc63wa,""
0x427A33234FAacB6B3Acd1A5a27d9f8bec358e3C9,,1,,1,,,1,,14.63985895795918,1696308013,bafkreifvmqv3sfbk4vxjhgzmpfooryavcm2h6jj37ymivvnxcjpuvpoznm,""
0xd2Ff37357b09c9cB698CA9773400e44195BfCFE0,,1,,,,,,,1.9487925939939303,1696308072,bafkreigk75jp6uzqjwe44acpqabshy6zvuinsrhx3dmoyh7anixqgtnykq,""
0xD508C555c8349ae273C1DA1FAD738e9b66950d4B,,1,,,,,,,11.94021033137391,1696308509,bafkreibo4jd7mad532tao5ndwzy4stym77folwopkvh645fxivysxnmvri,""
0xEbDd026780184e2FCb3201f4d355D277495Ca33D,,,,1,,,,,4.047880332228959,1696308524,bafkreig7eojv45mq5uhy4zufpswk5nnfbqnsu3nhlurcaggmkkxsck24zm,""
0x52986B1CF87E95E280253d367587B4C5ef3e3B0F,,,,,,1,,,6.622012132145936,1696308555,bafkreielamja2cygcojcierxfdx7sz33ay42bbgkk3bmoc2hvqwdtlzeji,""
0x51aa29EFA9C3761fd9991231E950578589F0E799,,1,,1,,,,1,6.423804018799243,1696308700,bafkreic7gxranixdftu76g7xzat4eawajumru237blmrrtuqxuovzdrasa,""
0x82683f46C69e068f244D86103317b37ebbF93779,1,1,,1,1,1,,,127.41275885435614,1696308762,bafkreihydh7zrhpb7v22plevqhdabz5n5vryzoqqvah4s3bkmkqtadpuhq,""
0xBA3433ee8d9a6dd1fB2366E2510FE677396c9115,,100,,,,,,,2.2057435491530257,1696308945,bafkreidnkswahlyjkmodd4ltli5nk7aombgyccap3khax2tqrkxb3mdrly,""
0x0C5E9dD90b2a3056E175099b256A875FD94063dD,1,1,1,1,1,1,1,1,119.01404526326753,1696309035,bafkreicwugp4tsj7swj27cloia6qvre7ysy5pxnhrag2lbbvjcdxsjtzja,""
0xC903003f1B4dD87B20D1b8025bEFf5F1680113c8,,1,,,,,,,1.9430271974522328,1696309056,bafkreiglfgnndlurnx52ctzzs3bftgrj3o2tdlcf6zp2hcup77u4jtigo4,""
0x7Ca3149dA1298bf56c2f62E41BCAdE877dD87be6,,1,,,,,,,7.319285023393396,1696309189,bafkreiabvol6baytpmmswuuwawb44tapcmwkuhj2mrcswknmjiegujtbp4,""
0x32bf25983954E15DADEb4Cf596DbA35914e29efD,,1,,,,,,,0.972023175140479,1696309490,bafkreiaiibo2emo6r3ypeyek57tbm4r2yshnu4fwz2o44b4ucpxb7nk5mq,""
0x06bbB894603aB22Ccd2383bF78bBF78e897384ab,1,,,,,,,,3.1206454853007575,1696309975,bafkreicvk2wmqrxpq2zf5uxyankago3xsiccy5ecpichfvu65jp7kfl6je,""
0x989B79a9c1ddcA2F96B5767d1b254a296ce7bde0,,1,,,,,,,2.8583980965647786,1696310667,bafkreih7u5poinxwhyaqtuhbhstweoeehirqptk25joppznnbwkdzezsni,""
0x0972ec8fe3C691dBDF2277612148C97a90111857,,1,,,,,,,0.9615250610439422,1696310976,bafkreignwu3eylawa2yvfqhnevssj2icnlo7x2tsf7aopji2smjjvlds6m,""
0x75011dE74f3235766dF5273dA96A9815CD5c3874,1,3,1,2,1,1,1,1,0.9896254,1696311121,bafkreiae4fmauzaroy4gxbp6d5cmre446rye4fzdw7xuwx5ei5oabmpchu,""
0xD81769c2300A88EA58D3B52F35E3B88c71428BfD,5,,,,,,,,0.01,1696311615,bafkreihy2jzgm2ytgp3hskmncc543rggxopc2cwpe6kgabfipq5z7erupy,""
0x004EE4F2e7C94f313F4701f9755DC0171CBd6721,,1,,,,,,,0.9624538843698409,1696311683,bafkreid4d5jyu5nu4uwvlbzv6xi654kydfxac53eye7kbw55rpnmexg7wy,""
