address,choice.1,choice.2,choice.3,choice.4,choice.5,choice.6,voting_power,timestamp,author_ipfs_hash,reason
0xE3E6D2A6218d653a506DEFa39e26496ab94e7F6d,,,,,1,1,114.02070454998717,1679326088,bafkreibzga2w52ujqhc75emz5r2pa5dqltnbm2yua3djqwrte2o6joyuqi,""
0x97f156Cd2542629D7ce897D7a8d4966233b1AcC5,,,,,1,,3.898684,1679326128,bafkreic6zttbtiult7pcsrpr5u22gnppmgoopcmefr33folpeimxvzu7aq,""
0x60152B8d07ba7dd5f7c3fF8BBC3c99a4FC44EeFa,,,,50,,50,1818.7879359771628,1679326151,bafkreiascdc3tkr7dlordc7ziursfg4jeushva6bbprnuszxgqrlq6v5gu,""
0x560e1C866725eDC4C3AaABE38683A7Ec8420C31F,,,,,1,,0.988037,1679326160,bafkreicqc5ws7mqf7yv673jps3vv2w4fklfbmfc4nctimhevu3ik2uis6i,""
0xB763F010126f95dFF6B76A0F5F4D5f85107C2E99,,,,,,1,158.63292675423972,1679326190,bafkreidcslilwvvm7xhqko6n77y4nrxcc64e36gmzk2jwcxtnw53r6ssti,""
0x9ACB0e05FfA9E08777aa4dFB3c2C77A58103F6aB,,,,,1,,0.988037,1679326196,bafkreihh4htzirf55scllfg3b5iog7errhgja3kgereqnmctyzx5ivqdme,""
0x88858E536e37a703e25098ff242ec5a1e1313d2C,,,,,,1,8686.574363764952,1679326249,bafkreicy7unvvttawasrwke7qun3zjqldegxsulz5xdtudmxnpvmryt7ru,""
0x81fD82b125b863C1Ddb8Aad1f313a16df0308B23,,,,,1,,0.478122,1679326281,bafkreidwaqc3zcvl6uxcbbeikxwdgtalued7f3qdi7f346lhiiqdwwds3a,""
0x1cBA0B01DC6987f755E2023579EDA5A3AA71fcDD,1,,,,,1,1059.9369989472568,1679326297,bafkreibprbux4nsdj7eqem65jxjk3zxaeoqq33brnclxvasv3rdbjz4syu,""
0xc64B8B705Fc6331F55dC28e3E1ed6fB9549e786F,,,,50,50,50,159.55977439240792,1679326299,bafkreiha74rwo2s2prv35t2z3wcojsltsdlofxptzy55wcnvbv2shn7viy,""
0x363085D9eBc20715fC61C3337f293b7940529e1f,50,,,,,50,105.26039204201797,1679326418,bafkreihyd3rwmbsseji3k6giawp4elnhkrqov2n7bvsc4hyt3vlsmuibna,""
0xb69ADef1596b2b0f600452581C786E3Db7B87De6,,,,,1,,0.0031203,1679326454,bafkreidq3gvwutvkg372vgn3xqdudmcxsshqxfpwgu3pxowplt7y65zqcm,""
0xE8A5830378Fe1c06AD32ED292Ac74D9f26D66bA5,1,,2,2,3,2,2094.5411073422556,1679326488,bafkreidso5bfrfdecvg3asmn44prnvjearfaebljeacqefi25hq64okmmq,""
0x05f7F81Ef8b158be44b96A3a3Bd5351BdF28946c,,,,,1,,3.4956292215538136,1679326577,bafkreiar5oj3dlzwv73uj6iflxcyc4pspmureq27vz66puhgtcyiqmixny,""
0x69e8e23Eb2e61BC8449e02Ced7075186DAFBcFc1,8,8,8,8,50,18,0.5794242669960608,1679326596,bafkreiao5p66quzymzc3x5htehv3kjbyfbuflkukbiipnashdttcbsvvdy,""
0xcAcC286D4C967148fB4FA9BAeDd7b7e68E5Cfc68,1,2,2,1,2,1,1.074936085,1679326653,bafkreiehce67mtoeyqbghzaku6gmn7jintzjomvbvnk54e4lnkrr74pjk4,""
0x4B80e11D2410F2029aE73628603840dfFbF885Aa,,,,,7,,7.768742547538273,1679326701,bafkreiacir3eq53l5kcgnjox5v62ttzytlgkudip7537lzqr7e42a5mzge,""
0x081Ea225fB53925331F1c87F1b64DAF960837799,18,8,8,8,50,8,10.5620440673512,1679326720,bafkreia6mg6gkz34hj7g3o4x5upe5kquzcmulbwt7lcknbojgyswebtz3q,""
0x68d463A21c736BdfB8b690bc7351D93bc148A815,,,8,,,4,2.6046323449798456,1679326722,bafkreig2puza2ztlswlatvhxgdq4dzzsylc2ukdalkerp5mfattrfkxrwa,""
0x0e94DD9b9583F4726103b263915E12fe29D2EF81,,,10000,,,1000,7377.373410002545,1679326821,bafkreidepvhpvipswj4ax6w6ucdk6aeag6q2v5wp4rb77jtess5hqeeyf4,""
0x7a4510D033986aF688A0a8a9eF114D07A7b2A577,,,,,1,,1.4960734423031676,1679326827,bafkreiella7fatv5j4yoxeu2wzfytg3l37dnizi5pplnx6h2twukvie4by,""
0x3A03605FF5cD1A702D8Cf4ec1ea51326dd802477,2,1,2,1,2,2,1.7782949891646662,1679326832,bafkreifcrand3vhevkf6fziwtsjsxhmjjvuzodvorzkjyoasutb2ubv4fe,""
