address,choice.1,choice.2,choice.3,choice.4,choice.5,choice.6,choice.7,choice.8,choice.9,choice.10,voting_power,timestamp,author_ipfs_hash,reason
0x6656D6c5119d1A05b94A753eB570f2933aBA4971,,1,,,1,1,1,3,2,1,53.642038772734836,1689952993,bafkreiboqyl4rh7ewi56gommwrvzawzbiq7ljqwsjxrhaywg4zl25h4nuq,""
0x66DC2CCcd7fa6206617A8bDeE3fB6dc21b848A3a,,,,,,,,,,36,36.40040323683902,1689952997,bafkreicyragfvkzrwzroi6ly6n4b5srop6rcswzrmdtxjxh56frk7cq2ii,""
0x7AA41D71E37B6087B872d40288983ba927267053,,,,,,1,,,,,2.2,1689953023,bafkreia5yhq2phjkr6tmtoyzusmrupvyabgv7y4nev7v6j4wbp2gv5mgsu,""
0x65b60Be16b914a9d4a4e4E31fe4adC236b509CF6,,,,,,1,,,,,374.4251421228704,1689953039,bafkreigirddgzcbxgj7x43hmszxtbpmllboor3xtks5al7l7naj55jtula,""
0xCD40Ee4562EA0537Ed1E06C6A2cD3096C5035b5d,,1,,,,,,,,,667.8990935388903,1689953120,bafkreihlswkcfut5ec3l5qmz2nd26mkqajymnaql4dutibs73kgkgk2mha,""
0x4Ec79B1542a072Eb797950B7de675406280Be025,,1,,,,,,,,,150.91125768572087,1689953303,bafkreidvrg4wkogoi6ngmc7gdtgorfzf5tmsdn6kkbn5z25uxv5xp4ukqa,""
0x962Edbb675e71ABAf6165eE35234679c2Fe66dBb,,,,,,,,,2,1,1.3635520832602188,1689953482,bafkreia5ou7pygxt7zo2yyxfn5p37gog52unfq4ffcdetkxiqmsxhmrjri,""
0x384D4EBf71EDba0a35C6f2eC81b3E1C96b06e1dD,,,,,,,,1,,,108105.99266425808,1689953522,bafkreieijbcqkieuehfpzunsbgvtpskdnoxcfskaxhvgdkkyhvosvcprmu,"Orbiter One is community focused, and is bringing back the exciting degen spirit that Moonbeam community hasn’t seen since Moonriver. "
0x1f137F133DF19d65669165A0963fE72485c7FD0a,,,,,,,,,,1,17588.46728125936,1689953562,bafkreiebput3rxe7i5k67nh2ba4suzwllarudjihboo2umjgnd4ebni2li,""
0xBccc44D3fE7ECa26B4E967cF358Be222d93Fd9b3,,2,,,,,3,3,2,,6.133585890777067,1689953653,bafkreibyhvbwvhwpp6tk4t67kuo2idqoxegp3bc2fjf3jscvptoussdl2e,""
0x137aaD5ed61b0867d8c9e2585B65B01E282D4b0f,,,,,,,,1,,,11438.301938335659,1689953685,bafkreic2qz2uxjwbpcvapi37nlcmshtbpep7bww3voolh6miiuzyxapqya,""
0x74a2E6A985B33454D39A0b333F51c3315CafC125,,,1,,,,,,,,1.0820081876876324,1689953735,bafkreihjdi5xc4yq6eounsp7plycgmstaghhlgbx43p4q7v4j3ftm3unue,""
0x45b61fd52C567001111E004371cc3e7559ED569F,1,1,,,1,,,1,1,1,0.9720933244088977,1689953752,bafkreibpjivvs7zgarziw2hehucjtin43hnix5vzlbwhvnmdpjmnf5ppqe,""
0xF6A485d50c9D26bbA74b3c633861F6bC07F74Fd1,3,3,3,1,10,7,7,7,5,2,13907.442659953575,1689954240,bafkreibwchtiedfm6s5g5zhyr4nbwwhfspug7frywutd2ch5oo66rzzkai,""
0x35Df63A1fb1Ab3D8Ae9691C31dA62A09F25EEe58,,,,,,,,,,56,26.34573870477267,1689954318,bafkreigrfjrvny57iw2gkmdzdwl4wxiyxdgd7d5jvcrpcjovhib2qnqnky,""
0x451cdFF5aa4b51f93A23e19E1bec45B62C1aFDB3,,,,,,,,,,1,43.19,1689954341,bafkreiayuvehnzkmgcx5l73bhglgyuhe6an6lqubymu5degha73x7cbzcq,""
0x897b85AFC77F884bfa8b35E19CafAfd33e959563,,,,,,,,,,1,0.31442114281997174,1689954374,bafkreidr27uuogx3ywtpew6l2vqsa5a2xw33tp7skdxcozwkuh4syxzz7a,""
0x2655FE0eBB68fa2bE62AEDf9811537Bd9BAbc052,,,,,,,,,,1,0.4235926456163282,1689954402,bafkreicowzpgbfayedkt7m73tryg3baeoiqfm5w34jqlqh3ollklwbzwu4,""
0x1dAA49168fB3DAb405e9856E51E7Fd8af3F4cfe4,,,,,,,1,,,,42.79319243703206,1689954447,bafkreifnomra2stmhcys2xburdtzmoxnfd5qdlt4cf2r7s34gzy3dicuee,""
0x9FC836D7Dc203cD12a267E7Fe6a01fA7383B12D3,,,,,,,,,,1,0.6089674820528035,1689954449,bafkreihwp5eckju5qk4ddxxfn7axkkuxpcxcmxwv23iiqapldykh6xvqq4,""
0xA51b5e9B89a59235DB4AD11DD5dB0df53751A678,,,,,,,,,,1,30089.39595011147,1689954634,bafkreifsqfr7zg6c3zygxwxyle5uwlm6ijdz3qef7foyhffdcpz3se6pkq,""
0x5DD57766FdB0982Afd9Ca2Eb5064B632622bCfDb,,,,,,,,4,,,1689.2270850714349,1689954744,bafkreie74d3stjizmzmlud272dqmswnqbqd77a4alcoiv5j6eihfr7aaru,""
0xFcA6735CA9B80732Fbb5Fa46fE501BF3BdB1F961,,,,,,,1,,,,4.00042,1689954778,bafkreihbjakjgujrinj5yacb5f63fzl5gvqm4c2k36gt226zi33is7gopm,""
0xC5f6B52BdABce080A68b49E80eA264699c174882,,,,,,,1,,,,80.19650724479688,1689954837,bafkreic3xhjscwq6zm6preznlh7nh66dsjojyotqys43cxkhmya2vxqqcy,""
0xFd59C68d60dC0980160ED0A79a4b3be42c106FA4,,,,,,,,2,,,6902.9665277760905,1689954837,bafkreifvahwuwogq2jqyavsewjwlwu3ezyjbvwwilpvgkhc7ujfj7z2444,""
0xC7F59169FbBd38183726aA6724C2aAcE3e8003Db,,,,,,,,1,,,327.11281685655297,1689954853,bafkreiaecypr3c7rwrgcbuvoucxv6jjhsexhqebzg5ga6cwmq6hgyrpj7e,""
0xEA8e59267b3796238Ba840764048CfF1dEdf6b21,,,,,,,1,,,,0.0756371705279286,1689954872,bafkreichzu76quxwqnazqu3lfpkhbk2pnhkxkteqombmc7esbtuvzxetyq,""
0x9A7C876756187729c380B45072D4f5B7aF32fEFa,,,,,,,,,,1,0.7443791041667273,1689954938,bafkreibg3cpxmrgirpasu4oi5ftjt4vxcfzgt3vobvoypi35uttrxyog4q,"Big fan of Lord📸"
0x7691bC0E868254a464d316FeE4FE2624228948C9,,,,,,,,1,,,1548.3955581184314,1689954972,bafkreibyodgkubpneinunqieamd4fxcvooyd7tfys4d3md6fx5ipz4l64e,""
0x13eb7C060E551E74ceD756f905e03A001D44A4cF,,,,,,,,1,,,2834.8628123469284,1689954996,bafkreientwsaiaad4swy4jbhbvffgnthbfr3jb57vla3zfuom3ecsf5yky,""
0x374aEC003981539B931AB01A84B72d2ce5564673,,,,,,,,1,,,2204.564324072097,1689955011,bafkreie55n7e5nek3yshm4qwnyuhro6u62xrkqos6pvhobnqp6zznj4kdu,""
0x4b2eECF9AEf82D61Feec8D9C77D1B578CA8672E1,,,,,,,,1,,,106.49040473734983,1689955031,bafkreicfozolbenbxh432skstgho4477gwonytiyhymp5dgdalvgxwzwo4,""
0x658c461b16C48227cD7cd680f33b5cA988880F6b,,,,,,,,1,,,106.25513577013122,1689955044,bafkreifguocnyflow35i4dcce3vmaet6hlfz4pzilndm6a2ca75ropad7a,""
0xF971C8f8D2437234733814B40E7dFEf75e219545,,,,,,,,,,1,0.7567118726987667,1689955045,bafkreiejibikygotm4cdlx6cofsum4gjfrqmyqfqosrwa67frqihjgpqju,"MADARA ! MADARA !MADARA !MADARA !MADARA !"
0x4Cd644a456a991b27137EF49303F8c0Ca24D193a,,,,,,,1,,,1,15281.559283929093,1689955250,bafkreifjra2xowik3cytb7xneth6fn576povt3tqg5xnk42o7gfjnql4bm,""
0x25341068524e657dd9434b6cf3738D27dA87d66C,,,,,,,,,,1,16.612656868246535,1689955388,bafkreifwc476idyry5nb4rghmzmrigmlb5d5ulbavhgjvmwbu32njr34we,""
0xf5D9460f6F16C1401C7e34B6C4dc5327bBA22ea2,,,,,,,,,,25,25.30664822970574,1689955508,bafkreih7ztj4cejpdtkoes7x6lbwwc327vecsl4fc65bxqj6brpv5cfqce,""
0x6Cd900ef0B64bb539aBf996086C12043b1FD3C41,,,,,,,,,,1,0.0742395825,1689955633,bafkreicwdnyyq66k5ey4dujs3fnn6e7rmu2h6alxerfgqr3sar7pif36s4,""
0xcAd3464301383B92183F92091222EA5e6187B0a3,,1,,1,,1,,,,,10.92651297872411,1689955804,bafkreib7klyztzp6oqodfguo7jo2r27avqnezyqagiettoxtdx4uzggqvq,""
0xB4f8d6d7E75529553612b364bCb29f51984b7373,1,,,,,,,,,,26461.607941508908,1689955810,bafkreic5c5eebmj2mfkraox7pzbv5y4oyslbq36kii4snblayu264lqynq,""
