address,choice.1,choice.2,choice.3,choice.4,choice.5,choice.6,choice.7,choice.8,choice.9,voting_power,timestamp,author_ipfs_hash,reason
0xD78C632831f0D8d11B014c73fF8404C111f375FD,,1,,,1,1,1,,,0.9838372609806708,1690957856,bafkreigtkcb5pmsxyayjdgbu2zsctcw3lujszosefsajuw6luc6wpn72ca,""
0x178DF84AC16e7A37BA92b102b285155f796d98D8,,,,,,,1,,,3.119835485170142,1690958167,bafkreiaeuhu3cxzpaim66dagw4qui6j6pozg5aagss627smarqurt4rfqe,""
0x427A33234FAacB6B3Acd1A5a27d9f8bec358e3C9,,,,,,,1,1,1,14.63985895795918,1690958241,bafkreigycym77ysaxvduzynrrhcmpxrhadrbamddtbxfpj6l56dhdi42ty,""
0x09b71A0d3CbbfFdf0f5976B8eb56f8E2Bc14f2FE,1,,,,,,,,,0.48310704508701163,1690958657,bafkreiglyoq5hafwhir5qjvagfnd23ugxqhf3vrww6en5mliswpv5a4shi,""
0x9a04Fc87aadFa1cae9d6E061c5fcCFD976E4c9E4,,1,1,1,1,1,1,1,1,1.2610457551873018,1690958715,bafkreiacjuckd6mqpf43q2juqexoylhekieyymc4ndumjgvpniupwmv5bu,""
0xABe851cA8843574A6730Cd37648Dc0ABf18C63B2,,,,,,1,,,,0.6508241602159531,1690959234,bafkreidalpopthf7swkxp435dxa4tjsheei4kxmknxs62yk2zjsaiayhwm,""
0x7A75f008c92d94761ff156eF54d99133F3054BE4,,,,,,1,,,,0.988773078670014,1690959266,bafkreigshfcwq2iw4fx2rqp4kgf2dqswighah44vjqzf55o5q3shaxqdbi,""
0xD71Ee71fb38ce6E404b81786D4dd263A074f30a9,,,,,,1,,,,0.4693722404744903,1690959302,bafkreia3o36d2n4p2otrhofb7ofes5t4qwimycqsbr45jbwbc7yd4evk44,""
0x108585845AA537F590700A3ad03a8245f21bC239,,,,,,1,,,,0.7234022429466069,1690959326,bafkreiedjsnex4sa4wb3injm545zwedtnja4y74f3nkks6jz6guilxkvpa,""
0x1A8CfF15551542A5C9FEC3cb7b17a145D7A080E6,,,,,,1,,,,0.48376067606072565,1690959359,bafkreielvgpwapro4eufiqxioaub4mukx7nsgs5y5vhcwubbtoe66f3w7e,""
0x34EcfCa1dD05f10bdFB2A6EA4678388a00791aEF,1,,,1,,,,,,1.7699919503198263,1690959391,bafkreib5nxmxw5cx2qvxz7olw6gxx5edaxpvdfabae2dxdtqlrjuhubrsa,""
0x81Df681c823fa09C53cCC63f59a6B092aE9F7188,,,,,,1,,,,0.4965080270873152,1690959393,bafkreidewpsidvds7kijxne25pxx5n2egc6brmfbrkjfn7ahpkfb6yncqe,""
0x55f4f3E69d753209549dbc847721CF8546CD755b,,,,,,1,,,,31883.769686268868,1690959453,bafkreiesa7xqcoo74jhnng7rysujrpr4credxchbt57azv72aajz7stgwe,""
0x9f4BF1fAFD578Ae36a96c1e44ED8Ec9dAfcf4593,,1,,,,,,,,1424.5532478978646,1690959758,bafkreieon72yaaajmfhsgyhughr7upu6zrkbcyzzv2j23ontp5dfbgaf2m,""
0x525C49BF83Ce3a1AAf425ac1A463537dB68c8bd7,,,,,,,1,,1,3.0915596834048307,1690959811,bafkreia64yk5a4pdovwvyp7fqdrbwb7ic4nruwo2625dx6o3li7hxtzfly,""
0x98B68395b3c01265095B954eb8b46bFaf4720241,1,,1,,,,,,,0.8442004825,1690959828,bafkreifuh74x4ojixp4xw2ajgjxf5hso6ki5kklxtepr4gdpslsj5sbxsm,""
0xEDF7e101911d8f62C6d3528eE81FC4f50009a91F,,,,,,,1,,1,5881.540354519241,1690959871,bafkreicl7txb5hyfpts6b54jzb27pu5khuhdptdzzh3fyoc62lrjjgjk3m,""
0x12F8976ba98dbA27DE83f65b5aEfEEc690f862A9,,,1,,,,,,1,6.33328614452575,1690959917,bafkreieetg6vnc6x3invdwbbhjjc4m7zwtwltvfvbyekcpd7dqapeq44qe,""
0x525077Ee77fD4c34D0A1147648d59c08c26704e2,,,,,,,,,1,0.8889456575537219,1690959950,bafkreiaoknbb75wiqkesehv4c3iitammmfjgjbcntzrd35gvhgawyv77dy,""
0x5FD2899044548a03CdC368c9A0fbeF69a5E9F805,,,,,,,,,1,10.938919876330875,1690959998,bafkreidrepxua5rube7exlecnmserup3tonlddh47yitnktxpm4sgdtghm,""
0x609AA09E24a0a5BB40b66046E6ad00F9D67FA059,,,,,,,,1000000000,,6.506257081933028,1690960063,bafkreigxapxdov2xfnfzeyhjflnw4qg4vpsjty5f7m7aigkjrhlm75o2e4,""
0x67e082E6bd1495E81d4B476126B10B21A72FFB43,1,,,,,,,,,0.035479743597456266,1690960478,bafkreicrpyipjsg4532ozrcvquebnmhnuiqwvh2f4lmda656k4vjogkqqe,""
0xBeef3d45e9121123Abfc7D4660d9dD88D129A3F7,,,,,,1,,,,149.22378848479292,1690960815,bafkreieopxoquzk4rjwtawgza3xoky22ki2mchf47raqpc4zvrrzqjtxgm,""
0xe44782AFE398800d7190796018C4b865E32fF806,,,,,,1,1,,,0.96011635,1690961140,bafkreifee7nnuiv6n5fdy5l5enl2p4cfyd3vbli3eh7tm4hplgt2ucqbzy,""
0x7cb6F57F77C7d4446B7FAf4638716415e6Ff425a,,,,,,,1,,,4.718457227328509,1690961265,bafkreiac5hzokl2vgy7jhfunrtqogf2nldameuwxhdtb6f2jxgflvmw2wy,""
0xf4EF0a06664fE4Cd3091a775434DE4c5b5508515,,,,,,,1,,,10243.070122803998,1690961302,bafkreighr2dddg5ocgib67jd2sp4dcn5cl3c46e6upmpb4ha6flmjwrb5q,""
0xD508C555c8349ae273C1DA1FAD738e9b66950d4B,,1,,,,,1,,1,39.02323041554369,1690961360,bafkreigvmop2uv65l7hob2lxnk4vc7hmv23mxh3sebv2tgki4l43ncmu6u,""
0xEbDd026780184e2FCb3201f4d355D277495Ca33D,1,,1,,1,,,,,4.047880332228959,1690961382,bafkreifnvmu3qf2cwj3r3o34hchjd76qngn27vpxmsi2vvcsry5oplmtim,""
0x52986B1CF87E95E280253d367587B4C5ef3e3B0F,,1,,1,,1,,,,6.622012132145936,1690961647,bafkreiepnbiz6sk22rspkoi2lp6wuvhyvb5x4443rvaize7xix4353h2jy,""
0x521213512d66854e831c5DF5824909dEe05a31DC,1,1,1,1,1,1,1,1,1,1.3710271541574386,1690961749,bafkreibq4wlzlzb36qbp23mzdeuz2er5yo65du4den2ctn3lbzjakbje54,""
0x166c45FDe8DD671B16008e14b505A263c50cE736,,,,,,1,,,,3198.3134325335614,1690961840,bafkreiht2w5anq4nb4zaf3xvfo57iyow7zzogny7gv56q7t33vtj2flpge,""
0xab6Dd57e6123c2b38ff281462313787eEbb11eEE,,,,,,1,,,1,0.7982197050908397,1690961947,bafkreib3qztoi6u636cora67f2okythwieixozxis437quzrvtvgqjywmi,""
0x123c8A4D7D516f71f883ab1CF7A7017D78c29aaB,1,1,1,1,1,1,1,1,1,1.2601539809888507,1690962184,bafkreiartgifd55tl4lmjxcyuhbm4547w3j3qxeps2rzwo3oavl76yjx3m,""
0xC5db019BD0E60938CC5087c7494d3Bc054612192,,1,,,,,1,,,3.950123333515121,1690962408,bafkreibgw65ssbfb24hqdv6svwr3xemoirgblhlryeh6n7dfdiswp3z3m4,""
0x0e94DD9b9583F4726103b263915E12fe29D2EF81,,,,,,,1,,,7381.5756158292725,1690962670,bafkreig7tmke7kc2ox3jnyqnrqknd7mf2bh2gx2fcgqw76w5aikozgkopy,""
0x68d463A21c736BdfB8b690bc7351D93bc148A815,,,,,,,1,,,1.9091610987708243,1690962709,bafkreidgkkzgjbz3pox6leiha5gvdq3wxeagpkecf646olyvw3q24cpa3u,""
0x0Ad9fBf7Aa4C95133DbeF42f4Cc347C001a6E678,,,,,,,1,,,9.26670704565767,1690962805,bafkreifnp2awhguy3qeexu7yw6x57rogtu3cuflmoewvp5qimyoyziqa64,""
0xE1d8B0492FbE9C145f2AA6e2c6A76Fe034561c5A,,,,,,,3,,,19.01641535,1690963162,bafkreigzx2l2siyd2o6od6rrdeyscu7otavruor5opbv4jz3s7qks6v3uu,"Best project so far"
0xCCA0280916BB0CaDCF4A9A61e9f97100c3740e51,1,1,,,,,1,,1,13.088996290703173,1690963204,bafkreiasvbqrhmb6wtuny47l45wj6gql6u65lyb3xopd6eqb2od2zjqsnu,""
0x23745E90a24348cD0C6dd78fEd73cb0a049C90B0,,,,,,,1,,,5.352019501382017,1690963441,bafkreifwwe5powzdme2i7afpix6fjfq2gb6oevbv6gfxqngjmt2ssvgxim,""
0x3E5bBf4011CE3ea239AF4D3341c0b5e7d2A6Ec0a,,,,,,1,,,,3194.8555776211106,1690963706,bafkreifyq6tvjnptkr4x2nikabgq5cb4q74hyjcjicqmdgih3igsprizsi,""
0x3d43d235517f3Bc40212e9FBc483b9Cc72Fb911f,,1,,,1,1,3,,1,10397.975163926088,1690963766,bafkreichjrffezvtrgzomh6xmagwtoyycrz2kazoj5kqcvw52iyem4v2jm,""
0xe22EB10b5799fa6c19365B6abce632e0B4FCDAb8,,,,,,,1,1,,129.10512704073386,1690963820,bafkreiaiyyuzftbzrk4mgvhcg7xvg5woy5eoizqkyegvoyy2ocrbwkwp4m,""
0x3a72EbE69C6681CD05529EC7eE358027e8973193,,,,,,100,,,,1.937826580667584,1690963857,bafkreiarhhr6umqlue3vaudjmdfqwdyqdixezae2hu2t5crq3vklhg2ibq,""
0x3b3d96D7Ba6d981ed0861E54d6298947B495F68f,,,,,,,1,,,2.7405486351453785,1690963963,bafkreigvlilqiicivhgsczkke3weeh4f3uqxhzryxklb6xtntlrigcumea,""
0x894436FA26ca07306FA4f1f3a2bf4C150f3173c1,,1,1,,,,,,,2.3961616527447513,1690964342,bafkreicc4q5utaadmunifi7rzw3ijhjzizfmz4b4ccxcxapeihr2uw7e5i,""
0x6ED7E999C79263Cbe017bD5eDBE55CF50DB43029,,1,,,,,,,1,2.716989450719223,1690964518,bafkreihv2zx4d477ajtotq3dyxe3bup2y5an7img6qvregsgjvfsj4pgau,""
0x6cCBa0A11458c461d146c28011B1DfA43f637ec6,,,,,,1,,,,6.685333426408542,1690964855,bafkreida6feejfolpbzaye53ftz7gozj5b6ydb34oggqzd7umwouabwlqi,""
0x8d02e580ed45631D5C8b53352add7A5154988b3e,,,,,,,,1,,21.267665177987134,1690965494,bafkreib5yz4irou7cy3dxz52te4g2ior5nmavrwuwlzlzwwoqant3d3ihi,""
0x57E24DF9EC60fC74908F3afe10022B01435ffF70,2,1,,1,,1,,,,1711.89,1690965510,bafkreihlasnzozzvfqknciy3szheknvnuz64wstkvfv6xazphqyzgefmlm,""
